Region,League,Year,Dataset,Team,Team_WAR,WAR_per_Game,W,L,GP,W_pct,Players,Projected_Team_WAR,Proj_WAR_per_Game
Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,127.08,1.396,37,54,91,0.4066,"Clear, Willer, Clozer, Teddy, Kael",102.51,1.126
Korea,LCK,2023,full year (per-game derived),T1,125.74,1.048,74,46,120,0.6167,"Zeus, Oner, Faker, Gumayusi, Keria",109.94,0.916
Korea,LCK,2023,full year (per-game derived),Gen.G,105.73,0.97,81,28,109,0.7431,"Doran, Peanut, Chovy, Peyz, Delight",93.23,0.855
Korea,LCK,2023,full year (per-game derived),Hanwha Life Esports,74.29,0.694,59,48,107,0.5514,"Kingen, Grizzly, Zeka, Viper, Life",73.88,0.69
Korea,LCK,2023,full year (per-game derived),Dplus Kia,71.74,0.815,52,36,88,0.5909,"Canna, Canyon, ShowMaker, Deft, Kellin",65.51,0.744
Korea,LCK,2023,full year (per-game derived),KT Rolster,64.79,0.568,79,35,114,0.693,"Kiin, Cuzz, Bdd, Aiming, Lehends",61.58,0.54
Korea,LCK,2023,full year (per-game derived),HANJIN BRION,49.09,0.552,28,61,89,0.3146,"Morgan, UmTi, Karis, Hena, Effort",49.42,0.555
Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,42.29,0.498,22,63,85,0.2588,"DnDn, Sylvie, FIESTA, Jiwoo, Peter",42.51,0.5
Korea,LCK,2023,full year (per-game derived),DRX,23.48,0.261,28,62,90,0.3111,"Rascal, Croco, FATE, Paduck, BeryL",32.66,0.363
Korea,LCK,2023,full year (per-game derived),DN SOOPers,20.3,0.245,27,56,83,0.3253,"DuDu, YoungJae, BuLLDoG, Taeyoon, Andil",39.83,0.48
Korea,LCK,2024,full year (per-game derived),Gen.G,123.59,1.2,86,17,103,0.835,"Kiin, Canyon, Chovy, Peyz, Lehends",99.6,0.967
Korea,LCK,2024,full year (per-game derived),Hanwha Life Esports,114.46,1.022,78,34,112,0.6964,"Doran, Peanut, Zeka, Viper, Delight",103.8,0.927
Korea,LCK,2024,full year (per-game derived),T1,104.68,0.918,72,42,114,0.6316,"Zeus, Oner, Faker, Gumayusi, Keria",101.22,0.888
Korea,LCK,2024,full year (per-game derived),KT Rolster,99.24,1.023,50,47,97,0.5155,"PerfecT, Pyosik, Bdd, Deft, BeryL",84.14,0.867
Korea,LCK,2024,full year (per-game derived),Dplus Kia,68.34,0.616,59,52,111,0.5315,"Kingen, Lucid, ShowMaker, Aiming, Moham",68.06,0.613
Korea,LCK,2024,full year (per-game derived),HANJIN BRION,52.39,0.639,16,66,82,0.1951,"Morgan, YoungJae, FATE, Samver, Pollu",57.78,0.705
Korea,LCK,2024,full year (per-game derived),BNK FEARX,40.38,0.459,34,54,88,0.3864,"Clear, Raptor, Clozer, Hena, Duro",49.0,0.557
Korea,LCK,2024,full year (per-game derived),DRX,38.68,0.466,21,62,83,0.253,"Rascal, Sponge, SeTab, Teddy, Pleata",51.97,0.626
Korea,LCK,2024,full year (per-game derived),Nongshim RedForce,23.02,0.274,27,57,84,0.3214,"Mihile, Sylvie, Fisher, Jiwoo, vital",39.74,0.473
Korea,LCK,2024,full year (per-game derived),DN SOOPers,22.67,0.252,39,51,90,0.4333,"DuDu, Cuzz, BuLLDoG, Leaper, Andil",33.36,0.371
Korea,LCK,2025,full year (per-game derived),T1,87.02,0.664,82,49,131,0.626,"Doran, Oner, Faker, Peyz, Keria",74.23,0.567
Korea,LCK,2025,full year (per-game derived),Hanwha Life Esports,77.06,0.567,85,51,136,0.625,"Zeus, Kanavi, Zeka, Gumayusi, Delight",84.92,0.624
Korea,LCK,2025,full year (per-game derived),BNK FEARX,75.45,0.705,47,60,107,0.4393,"Clear, Raptor, VicLa, Diable, Kellin",62.18,0.581
Korea,LCK,2025,full year (per-game derived),DN SOOPers,64.45,0.686,23,71,94,0.2447,"Lancer, DDoiV, Flip, Enosh, Quantum",45.24,0.481
Korea,LCK,2025,full year (per-game derived),KT Rolster,58.87,0.499,55,63,118,0.4661,"Sero, Sylvie, Hwichan, FenRir, Effort",43.17,0.366
Korea,LCK,2025,full year (per-game derived),HANJIN BRION,40.64,0.387,40,65,105,0.381,"Casting, GIDEON, Fisher, Teddy, Namgung",54.92,0.523
Korea,LCK,2025,full year (per-game derived),DRX,12.39,0.123,40,61,101,0.396,"Rich, Willer, Ucal, Jiwoo, Andil",39.8,0.394
Korea,LCK,2025,full year (per-game derived),Dplus Kia,3.48,0.024,83,65,148,0.5608,"Siwoo, Lucid, ShowMaker, Smash, Career",38.1,0.257
Korea,LCK,2025,full year (per-game derived),Nongshim RedForce,0.39,0.003,49,76,125,0.392,"Kingen, Sponge, Scout, Taeyoon, Lehends",37.62,0.301
Korea,LCK,2025,full year (per-game derived),Gen.G,-85.02,-0.691,90,33,123,0.7317,"Kiin, Juny, Loid, Harusary, Duro",55.21,0.449
Korea,LCK,2026,full year (per-game derived),Gen.G,135.36,1.758,57,20,77,0.7403,"Kiin, Canyon, Chovy, Ruler, Duro",130.51,1.695
Korea,LCK,2026,full year (per-game derived),Hanwha Life Esports,122.68,1.753,43,27,70,0.6143,"Zeus, Kanavi, Zeka, Gumayusi, Delight",105.68,1.51
Korea,LCK,2026,full year (per-game derived),Dplus Kia,103.05,1.158,50,39,89,0.5618,"Siwoo, Lucid, ShowMaker, Smash, Career",78.48,0.882
Korea,LCK,2026,full year (per-game derived),Kiwoom DRX,67.91,0.828,33,49,82,0.4024,"Frog, Willer, Ucal, Aiming, Andil",79.74,0.972
Korea,LCK,2026,full year (per-game derived),DN SOOPers,66.61,0.888,20,55,75,0.2667,"DuDu, Sharvel, Clozer, deokdam, Peter",65.68,0.876
